CompanyName,CompanyNumber,SICCode.SicText_1,scrape_status,cached_scrape_path
EHS SOLUTIONS CLEANING LTD,09876933,"63110 - Data processing, hosting and related activities",scraped,data/cache/scrapes/09876933.txt
ODORE LIMITED,10726054,"63110 - Data processing, hosting and related activities",scraped,data/cache/scrapes/10726054.txt
GENIUS SPORTS GROUP LIMITED,09706742,"63110 - Data processing, hosting and related activities",scraped,data/cache/scrapes/09706742.txt
PATTERNVERSE LTD,12405012,"63110 - Data processing, hosting and related activities",scraped,data/cache/scrapes/12405012.txt
DATA CENTRE RESPONSE LIMITED,07960658,"63110 - Data processing, hosting and related activities",scraped,data/cache/scrapes/07960658.txt
PURE ENERGY MULTIMEDIA LTD,03943364,"63110 - Data processing, hosting and related activities",failed,
B4SECURE LIMITED,09965748,"63110 - Data processing, hosting and related activities",failed,
MARKET FOCUS RESEARCH LIMITED,03409969,"63110 - Data processing, hosting and related activities",scraped,data/cache/scrapes/03409969.txt
SPORT INTEGRITY MONITOR LIMITED,07415240,"63110 - Data processing, hosting and related activities",failed,
BASEDATA LIMITED,03001839,"63110 - Data processing, hosting and related activities",parked,
ZESTIA LIMITED,06418281,"63110 - Data processing, hosting and related activities",failed,
ASSOSIA LTD,04859757,"63110 - Data processing, hosting and related activities",scraped,data/cache/scrapes/04859757.txt
ELECTRONIC CALL HANDLING OPERATIONS LIMITED,10932318,"63110 - Data processing, hosting and related activities",scraped,data/cache/scrapes/10932318.txt
HAVAS EHS DISCOVERY LIMITED,00908743,"63110 - Data processing, hosting and related activities",parked,
CADENCE NETWORKS LTD,06852472,"63110 - Data processing, hosting and related activities",scraped,data/cache/scrapes/06852472.txt
SENTR LTD,13336418,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/13336418.txt
NAUTICA SOLUTIONS LTD,09797810,62011 - Ready-made interactive leisure and entertainment software development,failed,
GROUND SHATTER LTD.,09055065,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/09055065.txt
REBELLION WARWICK LTD,07822337,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/07822337.txt
DEVANGELS LIMITED,09778619,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/09778619.txt
SWEATCO LTD,09242159,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/09242159.txt
YALDI GAMES LTD,SC652007,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/SC652007.txt
BOSSACO LIMITED,07599342,62011 - Ready-made interactive leisure and entertainment software development,failed,
FUN ATOMIC LIMITED,09621040,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/09621040.txt
WARACLE HOLDING COMPANY LIMITED,SC644087,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/SC644087.txt
UNEXPECTED DEVELOPMENTS LTD,10460240,62011 - Ready-made interactive leisure and entertainment software development,parked,
CONTENT EXCHANGE LIMITED,04421466,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/04421466.txt
GAMES OF SKILL LIMITED,01660096,62011 - Ready-made interactive leisure and entertainment software development,failed,
EYEZILLA LTD,11558741,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/11558741.txt
APPIC LTD,09316629,62011 - Ready-made interactive leisure and entertainment software development,scraped,data/cache/scrapes/09316629.txt
BRAIN LABS UK HOLDCO LIMITED,12148954,62090 - Other information technology service activities,no-url,
AYTEL SYSTEMS LTD,03511611,62090 - Other information technology service activities,no-url,
MUSARUBRA UK SUBSIDIARY 3 LTD,13326180,63990 - Other information service activities n.e.c.,no-url,
EMOCIAL LIMITED,08302864,62020 - Information technology consultancy activities,no-url,
BYTESIGN CONSULTING LTD,10469759,62012 - Business and domestic software development,no-url,
LAINAH LIMITED,13113088,62020 - Information technology consultancy activities,no-url,
WISHVILLE LIMITED,07660813,62020 - Information technology consultancy activities,no-url,
SSSHAKE LTD,10329840,63990 - Other information service activities n.e.c.,no-url,
STRANGELY NAMED LIMITED,07878274,62090 - Other information technology service activities,no-url,
SURETEC SYSTEMS LIMITED,SC258005,61100 - Wired telecommunications activities,no-url,
VEROND LTD,13094508,63120 - Web portals,no-url,
E M A TECHNOLOGY LTD.,02762003,62020 - Information technology consultancy activities,no-url,
TORTOISESHELL LIMITED,03110996,62090 - Other information technology service activities,no-url,
ETTHICS LTD,11648653,46190 - Agents involved in the sale of a variety of goods,no-url,
COMRZ LTD,06969486,62090 - Other information technology service activities,no-url,
ABBECTIM LTD,08275361,62020 - Information technology consultancy activities,no-url,
COMPUTEVO LTD,11446988,62020 - Information technology consultancy activities,no-url,
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,01800000,61900 - Other telecommunications activities,no-url,
CHROME RIVER INTERNATIONAL LTD.,06624539,62012 - Business and domestic software development,no-url,
ACTION POTENTIAL LTD,SC293569,62020 - Information technology consultancy activities,no-url,
DANDELION DIGITAL MEDIA LTD,10953180,63990 - Other information service activities n.e.c.,scraped,data/cache/scrapes/10953180.txt
INFINIGATE CLOUD UK LTD,10964910,62090 - Other information technology service activities,scraped,data/cache/scrapes/10964910.txt
EDGE21 STUDIO LTD,12798408,59111 - Motion picture production activities,scraped,data/cache/scrapes/12798408.txt
HORISK LESLIE DEVELOPMENT LTD,SC411872,62012 - Business and domestic software development,scraped,data/cache/scrapes/SC411872.txt
CHELSEA DIGITAL VENTURES LIMITED,11630296,62090 - Other information technology service activities,scraped,data/cache/scrapes/11630296.txt
CAMBRIDGE NETWORKS LTD.,03596759,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/03596759.txt
MPS STUDIO LTD,NI665668,62012 - Business and domestic software development,failed,
ENGHOUSE NETWORKS (UK) LIMITED,03544792,62090 - Other information technology service activities,scraped,data/cache/scrapes/03544792.txt
TRIO NETWORK SOLUTIONS LTD,11984106,61100 - Wired telecommunications activities,failed,
